<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GDAX.BTC-USD;D;20191031;000000;9159.4800000
GDAX.BTC-USD;D;20191101;000000;9253.1200000
GDAX.BTC-USD;D;20191102;000000;9308.5200000
GDAX.BTC-USD;D;20191103;000000;9206.5200000
GDAX.BTC-USD;D;20191104;000000;9412.5300000
GDAX.BTC-USD;D;20191105;000000;9322.0900000
GDAX.BTC-USD;D;20191106;000000;9341.2700000
GDAX.BTC-USD;D;20191107;000000;9198.8400000
GDAX.BTC-USD;D;20191108;000000;8763.0100000
GDAX.BTC-USD;D;20191109;000000;8807.8900000
GDAX.BTC-USD;D;20191110;000000;9032.2300000
GDAX.BTC-USD;D;20191111;000000;8721.5400000
GDAX.BTC-USD;D;20191112;000000;8810.0000000
GDAX.BTC-USD;D;20191113;000000;8758.3400000
GDAX.BTC-USD;D;20191114;000000;8630.0000000
GDAX.BTC-USD;D;20191115;000000;8457.4800000
GDAX.BTC-USD;D;20191116;000000;8481.0000000
GDAX.BTC-USD;D;20191117;000000;8500.0100000
GDAX.BTC-USD;D;20191118;000000;8168.8400000
GDAX.BTC-USD;D;20191119;000000;8123.3600000
GDAX.BTC-USD;D;20191120;000000;8082.9600000
GDAX.BTC-USD;D;20191121;000000;7616.4600000
GDAX.BTC-USD;D;20191122;000000;7283.0300000
GDAX.BTC-USD;D;20191123;000000;7329.2900000
GDAX.BTC-USD;D;20191124;000000;6908.6400000
GDAX.BTC-USD;D;20191125;000000;7127.0100000
GDAX.BTC-USD;D;20191126;000000;7162.6700000
GDAX.BTC-USD;D;20191127;000000;7523.7200000
GDAX.BTC-USD;D;20191128;000000;7432.4100000
GDAX.BTC-USD;D;20191129;000000;7760.0000000
GDAX.BTC-USD;D;20191130;000000;7555.9200000
GDAX.BTC-USD;D;20191201;000000;7404.2700000
GDAX.BTC-USD;D;20191202;000000;7305.0100000
GDAX.BTC-USD;D;20191203;000000;7302.9400000
GDAX.BTC-USD;D;20191204;000000;7198.9900000
GDAX.BTC-USD;D;20191205;000000;7393.5400000
GDAX.BTC-USD;D;20191206;000000;7540.0800000
GDAX.BTC-USD;D;20191207;000000;7502.1900000
GDAX.BTC-USD;D;20191208;000000;7520.0000000
GDAX.BTC-USD;D;20191209;000000;7337.5100000
GDAX.BTC-USD;D;20191210;000000;7219.3700000
GDAX.BTC-USD;D;20191211;000000;7201.2300000
GDAX.BTC-USD;D;20191212;000000;7185.9100000
GDAX.BTC-USD;D;20191213;000000;7249.9000000
GDAX.BTC-USD;D;20191214;000000;7062.9100000
GDAX.BTC-USD;D;20191215;000000;7111.0000000
GDAX.BTC-USD;D;20191216;000000;6877.0300000
GDAX.BTC-USD;D;20191217;000000;6616.6200000
GDAX.BTC-USD;D;20191218;000000;7285.5300000
GDAX.BTC-USD;D;20191219;000000;7149.1200000
GDAX.BTC-USD;D;20191220;000000;7190.0000000
GDAX.BTC-USD;D;20191221;000000;7143.0100000
GDAX.BTC-USD;D;20191222;000000;7513.0600000
GDAX.BTC-USD;D;20191223;000000;7310.7900000
GDAX.BTC-USD;D;20191224;000000;7255.0100000
GDAX.BTC-USD;D;20191225;000000;7192.1200000
GDAX.BTC-USD;D;20191226;000000;7194.1300000
GDAX.BTC-USD;D;20191227;000000;7245.8300000
GDAX.BTC-USD;D;20191228;000000;7302.6700000
